1.png, Put food on the plate .
194.png, Cleaning kitchen utensils in the sink .
195.png, Cleaning kitchen utensils in the sink .
196.png, Cleaning kitchen utensils in the sink .
197.png, Cleaning kitchen utensils in the sink .
198.png, Cleaning kitchen utensils in the sink .
199.png, Cleaning kitchen utensils in the sink .
200.png, Cleaning kitchen utensils in the sink .
201.png, Cleaning kitchen utensils in the sink .
202.png, Cleaning kitchen utensils in the sink .
203.png, Cleaning kitchen utensils in the sink .
204.png, Cleaning kitchen utensils in the sink .
205.png, Cleaning kitchen utensils in the sink .
206.png, Cleaning kitchen utensils in the sink .
212.png, Cleaning kitchen utensils in the sink .
213.png, Cleaning kitchen utensils in the sink .
214.png, Cleaning kitchen utensils in the sink .
215.png, Cleaning kitchen utensils in the sink .
216.png, Cleaning kitchen utensils in the sink .
217.png, Cleaning kitchen utensils in the sink .
218.png, Cleaning kitchen utensils in the sink .
219.png, Cleaning kitchen utensils in the sink .
220.png, Cleaning kitchen utensils in the sink .
221.png, Cleaning kitchen utensils in the sink .
222.png, Cleaning kitchen utensils in the sink .
223.png, Cleaning kitchen utensils in the sink .
224.png, Cleaning kitchen utensils in the sink .
225.png, Cleaning kitchen utensils in the sink .
226.png, Cleaning kitchen utensils in the sink .
227.png, Cleaning kitchen utensils in the sink .
228.png, Cleaning kitchen utensils in the sink .
229.png, Cleaning kitchen utensils in the sink .
230.png, Cleaning kitchen utensils in the sink .
231.png, Cleaning kitchen utensils in the sink .
232.png, Cleaning kitchen utensils in the sink .
233.png, Cleaning kitchen utensils in the sink .
234.png, Cleaning kitchen utensils in the sink .
235.png, Cleaning kitchen utensils in the sink .
236.png, Cleaning kitchen utensils in the sink .
237.png, Cleaning kitchen utensils in the sink .
238.png, Cleaning kitchen utensils in the sink .
239.png, Cleaning kitchen utensils in the sink .
240.png, Cleaning kitchen utensils in the sink .
241.png, Cleaning kitchen utensils in the sink .
242.png, Cleaning kitchen utensils in the sink .
243.png, Cleaning kitchen utensils in the sink .
244.png, Cleaning kitchen utensils in the sink .
245.png, Cleaning kitchen utensils in the sink .
246.png, Cleaning kitchen utensils in the sink .
247.png, Cleaning kitchen utensils in the sink .
248.png, Cleaning kitchen utensils in the sink .
249.png, Cleaning kitchen utensils in the sink .
250.png, Cleaning kitchen utensils in the sink .
251.png, Cleaning kitchen utensils in the sink .
252.png, Cleaning kitchen utensils in the sink .
253.png, Cleaning kitchen utensils in the sink .
254.png, Cleaning kitchen utensils in the sink .
255.png, Cleaning kitchen utensils in the sink .
256.png, Cleaning kitchen utensils in the sink .
257.png, Cleaning kitchen utensils in the sink .
258.png, Cleaning kitchen utensils in the sink .
259.png, Cleaning kitchen utensils in the sink .
260.png, Cleaning kitchen utensils in the sink .
261.png, Cleaning kitchen utensils in the sink .
262.png, Cleaning kitchen utensils in the sink .
263.png, Cleaning kitchen utensils in the sink .
264.png, Cleaning kitchen utensils in the sink .
265.png, Cleaning kitchen utensils in the sink .
266.png, Cleaning kitchen utensils in the sink .
267.png, Cleaning kitchen utensils in the sink .
268.png, Cleaning kitchen utensils in the sink .
269.png, Cleaning kitchen utensils in the sink .
270.png, Cleaning kitchen utensils in the sink .
271.png, Cleaning kitchen utensils in the sink .
272.png, Cleaning kitchen utensils in the sink .
273.png, Cleaning kitchen utensils in the sink .
274.png, Cleaning kitchen utensils in the sink .
275.png, Cleaning kitchen utensils in the sink .
276.png, Cleaning kitchen utensils in the sink .
277.png, Cleaning kitchen utensils in the sink .
278.png, Cleaning kitchen utensils in the sink .
279.png, Cleaning kitchen utensils in the sink .
280.png, Cleaning kitchen utensils in the sink .
281.png, Cleaning kitchen utensils in the sink .
282.png, Cleaning kitchen utensils in the sink .
283.png, Cleaning kitchen utensils in the sink .
284.png, Cleaning kitchen utensils in the sink .
285.png, Cleaning kitchen utensils in the sink .
286.png, Cleaning kitchen utensils in the sink .
287.png, Cleaning kitchen utensils in the sink .
288.png, Cleaning kitchen utensils in the sink .
289.png, Cleaning kitchen utensils in the sink .
290.png, Cleaning kitchen utensils in the sink .
291.png, Cleaning kitchen utensils in the sink .
292.png, Cleaning kitchen utensils in the sink .
293.png, Cleaning kitchen utensils in the sink .
294.png, Cleaning kitchen utensils in the sink .
295.png, Cleaning kitchen utensils in the sink .
296.png, Cleaning kitchen utensils in the sink .
297.png, Cleaning kitchen utensils in the sink .
298.png, Cleaning kitchen utensils in the sink .
299.png, Cleaning kitchen utensils in the sink .
300.png, Cleaning kitchen utensils in the sink .
301.png, Cleaning kitchen utensils in the sink .
302.png, Cleaning kitchen utensils in the sink .
303.png, Cleaning kitchen utensils in the sink .
304.png, Cleaning kitchen utensils in the sink .
305.png, Cleaning kitchen utensils in the sink .
306.png, Cleaning kitchen utensils in the sink .
307.png, Cleaning kitchen utensils in the sink .
308.png, Cleaning kitchen utensils in the sink .
309.png, Cleaning kitchen utensils in the sink .
310.png, Cleaning kitchen utensils in the sink .
311.png, Cleaning kitchen utensils in the sink .
312.png, Cleaning kitchen utensils in the sink .
313.png, Cleaning kitchen utensils in the sink .
314.png, Cleaning kitchen utensils in the sink .
315.png, Cleaning kitchen utensils in the sink .
316.png, Cleaning kitchen utensils in the sink .
317.png, Cleaning kitchen utensils in the sink .
318.png, Cleaning kitchen utensils in the sink .
319.png, Cleaning kitchen utensils in the sink .
320.png, Cleaning kitchen utensils in the sink .
321.png, Cleaning kitchen utensils in the sink .
322.png, Cleaning kitchen utensils in the sink .
323.png, Cleaning kitchen utensils in the sink .
324.png, Cleaning kitchen utensils in the sink .
325.png, Cleaning kitchen utensils in the sink .
326.png, Cleaning kitchen utensils in the sink .
327.png, Cleaning kitchen utensils in the sink .
328.png, Cleaning kitchen utensils in the sink .
329.png, Cleaning kitchen utensils in the sink .
330.png, Cleaning kitchen utensils in the sink .
331.png, Cleaning kitchen utensils in the sink .
332.png, Cleaning kitchen utensils in the sink .
333.png, Cleaning kitchen utensils in the sink .
334.png, Cleaning kitchen utensils in the sink .
335.png, Cleaning kitchen utensils in the sink .
336.png, Cleaning kitchen utensils in the sink .
337.png, Cleaning kitchen utensils in the sink .
338.png, Clean the sink and tabletop with a rag .
339.png, Clean the sink and tabletop with a rag .
340.png, Clean the sink and tabletop with a rag .
341.png, Clean the sink and tabletop with a rag .
342.png, Clean the sink and tabletop with a rag .
343.png, Clean the sink and tabletop with a rag .
344.png, Clean the sink and tabletop with a rag .
345.png, Clean the sink and tabletop with a rag .
346.png, Clean the sink and tabletop with a rag .
347.png, Clean the sink and tabletop with a rag .
348.png, Clean the sink and tabletop with a rag .
349.png, Clean the sink and tabletop with a rag .
350.png, Clean the sink and tabletop with a rag .
351.png, Clean the sink and tabletop with a rag .
352.png, Clean the sink and tabletop with a rag .
353.png, Clean the sink and tabletop with a rag .
354.png, Clean the sink and tabletop with a rag .
355.png, Clean the sink and tabletop with a rag .
356.png, Clean the sink and tabletop with a rag .
357.png, Clean the sink and tabletop with a rag .
358.png, Clean the sink and tabletop with a rag .
359.png, Clean the sink and tabletop with a rag .
360.png, Clean the sink and tabletop with a rag .
361.png, Clean the sink and tabletop with a rag .
362.png, Clean the sink and tabletop with a rag .
363.png, Clean the sink and tabletop with a rag .
364.png, Clean the sink and tabletop with a rag .
365.png, Clean the sink and tabletop with a rag .
366.png, Clean the sink and tabletop with a rag .
367.png, Clean the sink and tabletop with a rag .
368.png, Clean the sink and tabletop with a rag .
370.png, Clean the sink and tabletop with a rag .
373.png, Clean the stove with a rag .
374.png, Clean the stove with a rag .
375.png, Clean the stove with a rag .
376.png, Clean the stove with a rag .
377.png, Clean the stove with a rag .
378.png, Clean the stove with a rag .
379.png, Clean the stove with a rag .
380.png, Clean the stove with a rag .
381.png, Clean the stove with a rag .
390.png, Dry your hands with a towel .
391.png, Dry your hands with a towel .
392.png, Dry your hands with a towel .
402.png, Throw the can into the trash .
403.png, Cleaning the Trash .
404.png, Cleaning the Trash .
405.png, Cleaning the Trash .
406.png, Cleaning the Trash .
407.png, Cleaning the Trash .
408.png, Cleaning the Trash .
409.png, Cleaning the Trash .
410.png, Cleaning the Trash .
411.png, Cleaning the Trash .
412.png, Cleaning the Trash .
413.png, Cleaning the Trash .
414.png, Cleaning the Trash .
415.png, Cleaning the Trash .
416.png, Cleaning the Trash .
417.png, Cleaning the Trash .
418.png, Cleaning the Trash .
419.png, Cleaning the Trash .
420.png, Cleaning the Trash .
421.png, Cleaning the Trash .
422.png, Cleaning the Trash .
423.png, Cleaning the Trash .
424.png, Cleaning the Trash .
425.png, Cleaning the Trash .
426.png, Cleaning the Trash .
427.png, Cleaning the Trash .
428.png, Cleaning the Trash .
429.png, Cleaning the Trash .
430.png, Cleaning the Trash .
431.png, Cleaning the Trash .
432.png, Cleaning the Trash .
433.png, Cleaning the Trash .
434.png, Cleaning the Trash .
435.png, Cleaning the Trash .
436.png, Cleaning the Trash .
437.png, Cleaning the Trash .
438.png, Cleaning the Trash .
439.png, Cleaning the Trash .
440.png, Cleaning the Trash .
441.png, Cleaning the Trash .
442.png, Cleaning the Trash .
443.png, Cleaning the Trash .
444.png, Cleaning the Trash .
445.png, Cleaning the Trash .
446.png, Cleaning the Trash .
447.png, Cleaning the Trash .
448.png, Cleaning the Trash .
449.png, Cleaning the Trash .
450.png, Cleaning the Trash .
451.png, Cleaning the Trash .
452.png, Cleaning the Trash .
453.png, Cleaning the Trash .
454.png, Cleaning the Trash .
455.png, Cleaning the Trash .
456.png, Cleaning the Trash .
457.png, Cleaning the Trash .
458.png, Cleaning the Trash .
459.png, Cleaning the Trash .
460.png, Cleaning the Trash .
461.png, Cleaning the Trash .
462.png, Cleaning the Trash .
463.png, Cleaning the Trash .
464.png, Cleaning the Trash .
465.png, Cleaning the Trash .
466.png, Cleaning the Trash .
467.png, Cleaning the Trash .
468.png, Cleaning the Trash .
469.png, Cleaning the Trash .
470.png, Cleaning the Trash .
471.png, Cleaning the Trash .
472.png, Cleaning the Trash .
473.png, Cleaning the Trash .
474.png, Cleaning the Trash .
475.png, Cleaning the Trash .
476.png, Cleaning the Trash .
477.png, Cleaning the Trash .
478.png, Cleaning the Trash .
479.png, Cleaning the Trash .
480.png, Cleaning the Trash .
481.png, Cleaning the Trash .
482.png, Cleaning the Trash .
483.png, Cleaning the Trash .
484.png, Cleaning the Trash .
485.png, Cleaning the Trash .
486.png, Cleaning the Trash .
487.png, Cleaning the Trash .
488.png, Cleaning the Trash .
489.png, Cleaning the Trash .
490.png, Cleaning the Trash .
495.png, Replace the garbage bags in the trash cans .
496.png, Replace the garbage bags in the trash cans .
497.png, Replace the garbage bags in the trash cans .
498.png, Replace the garbage bags in the trash cans .
499.png, Replace the garbage bags in the trash cans .
500.png, Replace the garbage bags in the trash cans .
501.png, Replace the garbage bags in the trash cans .
502.png, Replace the garbage bags in the trash cans .
503.png, Replace the garbage bags in the trash cans .
504.png, Replace the garbage bags in the trash cans .
505.png, Replace the garbage bags in the trash cans .
506.png, Replace the garbage bags in the trash cans .
507.png, Replace the garbage bags in the trash cans .
508.png, Replace the garbage bags in the trash cans .
509.png, Replace the garbage bags in the trash cans .
510.png, Replace the garbage bags in the trash cans .
511.png, Replace the garbage bags in the trash cans .
512.png, Replace the garbage bags in the trash cans .
513.png, Replace the garbage bags in the trash cans .
514.png, Replace the garbage bags in the trash cans .
515.png, Replace the garbage bags in the trash cans .
516.png, Replace the garbage bags in the trash cans .
517.png, Replace the garbage bags in the trash cans .
518.png, Replace the garbage bags in the trash cans .
519.png, Replace the garbage bags in the trash cans .
520.png, Replace the garbage bags in the trash cans .
521.png, Replace the garbage bags in the trash cans .
522.png, Replace the garbage bags in the trash cans .
523.png, Replace the garbage bags in the trash cans .
524.png, Replace the garbage bags in the trash cans .
525.png, Replace the garbage bags in the trash cans .
526.png, Replace the garbage bags in the trash cans .
527.png, Replace the garbage bags in the trash cans .
528.png, Replace the garbage bags in the trash cans .
529.png, Replace the garbage bags in the trash cans .
530.png, Replace the garbage bags in the trash cans .
531.png, Replace the garbage bags in the trash cans .
532.png, Replace the garbage bags in the trash cans .
535.png, Put lids on food containers .
536.png, Put lids on food containers .
537.png, Put lids on food containers .
538.png, Put lids on food containers .
539.png, Put lids on food containers .
540.png, Pick up the plate with pizza .
541.png, Pick up the plate with pizza .
542.png, Pick up the plate with pizza .
543.png, Pick up the plate with the pizza and open the refrigerator .
544.png, Pick up the plate with the pizza and open the refrigerator .
545.png, Pick up the plate with the pizza and open the refrigerator .
546.png, Pick up the plate with the pizza and open the refrigerator .
547.png, Pick up the plate with the pizza and open the refrigerator .
548.png, Pick up the plate with the pizza and open the refrigerator .
549.png, Pick up the plate with the pizza and open the refrigerator .
550.png, Pick up the plate with the pizza and open the refrigerator .
551.png, Put food in the refrigerator .
552.png, Put food in the refrigerator .
553.png, Put food in the refrigerator .
557.png, Close the refrigerator door .
558.png, Close the refrigerator door .
564.png, Open the lid .
565.png, Open the lid .
568.png, Flipping food in a frying pan with a spatula .
569.png, Flipping food in a frying pan with a spatula .
570.png, Flipping food in a frying pan with a spatula .
571.png, Flipping food in a frying pan with a spatula .
572.png, Flipping food in a frying pan with a spatula .
573.png, Flipping food in a frying pan with a spatula .
574.png, Flipping food in a frying pan with a spatula .
575.png, Flipping food in a frying pan with a spatula .
576.png, Flipping food in a frying pan with a spatula .
577.png, Flipping food in a frying pan with a spatula .
578.png, Flipping food in a frying pan with a spatula .
579.png, Flipping food in a frying pan with a spatula .
580.png, Flipping food in a frying pan with a spatula .
581.png, Flipping food in a frying pan with a spatula .
582.png, Flipping food in a frying pan with a spatula .
583.png, Flipping food in a frying pan with a spatula .
584.png, Flipping food in a frying pan with a spatula .
585.png, Flipping food in a frying pan with a spatula .
586.png, Flipping food in a frying pan with a spatula .
587.png, Flipping food in a frying pan with a spatula .
592.png, Fork the food in the pot .
593.png, Fork the food in the pot .
604.png, Flipping food in a frying pan with a spatula .
605.png, Flipping food in a frying pan with a spatula .
608.png, Turn off the heat .
620.png, Open the refrigerator .
621.png, Open the refrigerator .
622.png, Open the refrigerator .
627.png, Open the bread packaging .
628.png, Open the bread packaging .
629.png, Open the bread packaging .
630.png, Open the bread packaging .
631.png, Put the bread in the toaster. .
632.png, Put the bread in the toaster. .
633.png, Put the bread in the toaster. .
634.png, Put the bread in the toaster. .
637.png, Open the refrigerator .
638.png, Open the refrigerator .
639.png, Open the refrigerator .
640.png, Open the refrigerator .
641.png, Open the refrigerator .
643.png, Pick up the backpack .
644.png, Take something out of your bag .
645.png, Take something out of your bag .
651.png, Take something out of the refrigerator .
652.png, Take something out of the refrigerator .
656.png, Take the dishes out of the cupboard .
658.png, Put down the plate .
681.png, Take the cup from the cupboard .
682.png, Pick up the cup and walk to the sink .
686.png, Take something out of the refrigerator .
690.png, Open the juice .
691.png, Open the juice .
692.png, Open the juice .
693.png, Pour the juice into the glass .
694.png, Pour the juice into the glass .
695.png, Pour the juice into the glass .
696.png, Pour the juice into the glass .
697.png, Pour the juice into the glass .
698.png, Pour the juice into the glass .
699.png, Pour the juice into the glass .
700.png, Pour the juice into the glass .
701.png, Pour the juice into the glass .
704.png, Put the juice in the refrigerator .
762.png, Take out kitchenware from the cupboard .
763.png, Take out kitchenware from the cupboard .
764.png, Take out kitchenware from the cupboard .
769.png, Take out kitchenware from the cupboard .
772.png, Pick up the knife from the cutting board .
773.png, Pick up the knife from the cutting board .
778.png, Pick up the pot on the table .
779.png, Pick up the pot on the table .
780.png, Pick up the pot on the table .
781.png, Pick up the pot on the table .
782.png, Pick up the pot on the table .
786.png, Lift the pot lid off the table .
787.png, Put the lid on the pot .
788.png, Put the lid on the pot .
789.png, Put the lid on the pot .
797.png, Open cans on the table .
798.png, Open cans on the table .
799.png, Open cans on the table .
800.png, Open cans on the table .
801.png, Open cans on the table .
802.png, Open cans on the table .
803.png, Open cans on the table .
804.png, Open cans on the table .
805.png, Open cans on the table .
806.png, Open cans on the table .
807.png, Open cans on the table .
808.png, Open cans on the table .
809.png, Open cans on the table .
810.png, Open cans on the table .
811.png, Open cans on the table .
812.png, Open cans on the table .
813.png, Open cans on the table .
814.png, Open cans on the table .
815.png, Open cans on the table .
816.png, Open cans on the table .
817.png, Open cans on the table .
818.png, Open cans on the table .
819.png, Open cans on the table .
820.png, Open cans on the table .
821.png, Open cans on the table .
822.png, Open cans on the table .
823.png, Open cans on the table .
824.png, Open cans on the table .
825.png, Open cans on the table .
826.png, Open cans on the table .
827.png, Open cans on the table .
828.png, Open cans on the table .
829.png, Open cans on the table .
830.png, Open cans on the table .
831.png, Open cans on the table .
832.png, Open cans on the table .
833.png, Open cans on the table .
834.png, Open cans on the table .
835.png, Open cans on the table .
836.png, Open cans on the table .
837.png, Open cans on the table .
838.png, Open cans on the table .
839.png, Open cans on the table .
840.png, Open cans on the table .
841.png, Open cans on the table .
842.png, Open cans on the table .
843.png, Open cans on the table .
844.png, Open cans on the table .
845.png, Open cans on the table .
846.png, Open cans on the table .
847.png, Open cans on the table .
848.png, Open cans on the table .
849.png, Open cans on the table .
850.png, Open cans on the table .
851.png, Open cans on the table .
852.png, Open cans on the table .
853.png, Open cans on the table .
854.png, Open cans on the table .
855.png, Open cans on the table .
856.png, Open cans on the table .
857.png, Open cans on the table .
858.png, Open cans on the table .
859.png, Open cans on the table .
860.png, Open cans on the table .
861.png, Open cans on the table .
862.png, Open cans on the table .
863.png, Open cans on the table .
864.png, Open cans on the table .
867.png, washing hands .
868.png, washing hands .
877.png, washing hands .
878.png, washing hands .
879.png, washing hands .
890.png, Open the drawer to take something out .
891.png, Open the drawer to take something out .
892.png, Open the drawer to take something out .
893.png, Open the drawer to take something out .
894.png, Open the drawer to take something out .
895.png, Open the drawer to take something out .
903.png, Take out the fresh-keeping bag .
904.png, Put plastic bags on cans .
905.png, Put plastic bags on cans .
906.png, Put plastic bags on cans .
907.png, Put plastic bags on cans .
908.png, Put plastic bags on cans .
909.png, Put plastic bags on cans .
910.png, Put plastic bags on cans .
911.png, Put plastic bags on cans .
912.png, Put plastic bags on cans .
913.png, Put plastic bags on cans .
914.png, Put plastic bags on cans .
915.png, Put plastic bags on cans .
916.png, Put plastic bags on cans .
917.png, Put plastic bags on cans .
920.png, Put plastic bags on cans .
921.png, Put plastic bags on cans .
922.png, Put plastic bags on cans .
923.png, Put plastic bags on cans .
924.png, Put plastic bags on cans .
925.png, Put plastic bags on cans .
928.png, Open the drawer full of kitchen utensils .
930.png, Take the food out of the can and put it in a plastic bag .
931.png, Take the food out of the can and put it in a plastic bag .
932.png, Take the food out of the can and put it in a plastic bag .
933.png, Take the food out of the can and put it in a plastic bag .
934.png, Take the food out of the can and put it in a plastic bag .
935.png, Take the food out of the can and put it in a plastic bag .
936.png, Take the food out of the can and put it in a plastic bag .
937.png, Take the food out of the can and put it in a plastic bag .
938.png, Take the food out of the can and put it in a plastic bag .
939.png, Take the food out of the can and put it in a plastic bag .
940.png, Take the food out of the can and put it in a plastic bag .
941.png, Take the food out of the can and put it in a plastic bag .
942.png, Take the food out of the can and put it in a plastic bag .
943.png, Take the food out of the can and put it in a plastic bag .
944.png, Take the food out of the can and put it in a plastic bag .
945.png, Take the food out of the can and put it in a plastic bag .
946.png, Take the food out of the can and put it in a plastic bag .
947.png, Take the food out of the can and put it in a plastic bag .
948.png, Take the food out of the can and put it in a plastic bag .
949.png, Take the food out of the can and put it in a plastic bag .
950.png, Take the food out of the can and put it in a plastic bag .
951.png, Take the food out of the can and put it in a plastic bag .
952.png, Take the food out of the can and put it in a plastic bag .
953.png, Take the food out of the can and put it in a plastic bag .
954.png, Take the food out of the can and put it in a plastic bag .
955.png, Take the food out of the can and put it in a plastic bag .
956.png, Take the food out of the can and put it in a plastic bag .
957.png, Take the food out of the can and put it in a plastic bag .
958.png, Take the food out of the can and put it in a plastic bag .
959.png, Take the food out of the can and put it in a plastic bag .
960.png, Take the food out of the can and put it in a plastic bag .
961.png, Take the food out of the can and put it in a plastic bag .
962.png, Wash empty cans with water .
963.png, Wash empty cans with water .
964.png, Wash empty cans with water .
965.png, Wash empty cans with water .
966.png, Wash empty cans with water .
967.png, Wash empty cans with water .
968.png, Wash empty cans with water .
969.png, Wash empty cans with water .
970.png, Wash empty cans with water .
971.png, Wash empty cans with water .
972.png, Wash empty cans with water .
973.png, Wash empty cans with water .
974.png, Wash empty cans with water .
975.png, Wash empty cans with water .
976.png, Wash empty cans with water .
977.png, Wash empty cans with water .
978.png, Wash empty cans with water .
979.png, Wash empty cans with water .
985.png, Open the drawer full of kitchen utensils .
986.png, Open the drawer full of kitchen utensils .
987.png, Open the drawer full of kitchen utensils .
988.png, Open the drawer full of kitchen utensils .
989.png, Open the drawer full of kitchen utensils .
990.png, Pick up the seasoning .
991.png, Pick up the seasoning .
992.png, Pick up the seasoning .
993.png, Pick up the seasoning .
994.png, Pick up the seasoning .
995.png, Pick up the seasoning .
996.png, Pick up the seasoning .
997.png, Pick up the seasoning .
998.png, Pick up the seasoning .
999.png, Pour the seasoning into a spoon .
1000.png, Pour the seasoning into a spoon .
1001.png, Pour the seasoning into a spoon .
1002.png, Pour the seasoning into a spoon .
1003.png, Pour the seasoning into a spoon .
1004.png, Pour the seasoning into a spoon .
1005.png, Pour the seasoning into a spoon .
1006.png, Pour the seasoning into a spoon .
1007.png, Pour the seasoning into a spoon .
1008.png, Pour the seasoning into a spoon .
1009.png, Pour the seasoning into a spoon .
1010.png, Pour the seasoning into a spoon .
1011.png, Pour the seasoning into a spoon .
1012.png, Pour the seasoning into a spoon .
1013.png, Pour the seasoning into a spoon .
1014.png, Pour the seasoning into a spoon .
1015.png, Pour the seasoning into a spoon .
1016.png, Pour the seasoning into a spoon .
1017.png, Pour the seasoning into a spoon .
1018.png, Pour the seasoning into a spoon .
1019.png, Pour the seasoning into a spoon .
1020.png, Pour the seasoning into a spoon .
1029.png,Get something from the refrigerator .
1030.png,Get something from the refrigerator .
1031.png,Get something from the refrigerator .
